L,a,b
-64.58238,-16.210785,-1.3461733
-6.854543,-3.5434682,2.4824553
-66.777336,-16.770714,-1.4717554
-24.490328,-7.155214,1.3545474
-52.193474,-13.51816,-0.45765713
