B,G,R
196.8980008447135,196.77277206814023,209.40166126988598
211.07636881199127,210.0582662456078,216.75136770004002
204.91816067811868,205.5121896331858,213.37649088590504
184.51964358039692,173.17901984609153,162.01701093560146
114.14630490181383,99.21181232199072,120.03867486134014
209.1540150564617,207.66750313676283,211.86715809284817
