L,a,b
83.02603524424208,1.6299143194815624,-3.338351390852723
80.64371173694676,2.5928056903949948,-5.8408119640720235
89.58322361416907,2.062471809801125,-1.4663743505134441
83.35789177400171,1.4419894159439783,-2.841838126063956
78.82421409600693,2.145752556699021,-2.629946812742334
46.01069348901371,1.5476216472421478,1.811908754368341
72.40534732595805,3.345295674080484,-5.722462207320533
82.38446169750429,1.9716661414240777,-3.222687615224862
81.79224302650768,2.0705737992507967,0.7409877895077299
83.38136985673671,1.4116362814642902,-1.7326023999598483
