L,a,b
705.3541,115.82119,-79.002525
1050.9751,154.70361,-116.34926
1138.332,173.85257,-130.32883
1170.197,177.7181,-133.91185
1253.2316,189.45653,-143.98737
1169.7378,176.17586,-133.59868
30.12149,17.41836,4.541841
1165.2943,175.74597,-133.17229
30.12149,17.41836,4.541841
30.12149,17.41836,4.541841
