L,a,b
273.74698,-29.267406,-11.057744
194.3651,-13.616836,-3.7368221
500.07285,-69.45366,-32.897762
417.83994,-57.636112,-28.174417
425.21985,-46.686615,-19.254627
295.9432,-54.146175,-5.9423957
