dataset,image,method,k_type,n_clusters,traditional_avg_delta_e,pso_dbn_avg_delta_e,processing_time,segment_stats
block,block2,dbscan,predefined,1,20.005485284739503,14.652639892218204,1.9917588000000137,"{np.int64(0): {'pixel_count': 16384, 'percentage': np.float64(100.0), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(20.005485284739503), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(14.652639892218204)}}"
block,block3,kmeans,determined,2,1.648926953333236,1.8771999161486226,3.8847880000000146,"{np.int32(0): {'pixel_count': 8205, 'percentage': np.float64(50.079345703125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(0.7747229867436297), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.4868328005570182)}, np.int32(1): {'pixel_count': 8179, 'percentage': np.float64(49.920654296875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(2.5231309199228424), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.267567031740227)}}"
block,block3,som,determined,2,6.463220168337471,2.4439975454471,4.133452000000034,"{np.int64(0): {'pixel_count': 8202, 'percentage': np.float64(50.06103515625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.476832695319311), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.518772314542832)}, np.int64(1): {'pixel_count': 8182, 'percentage': np.float64(49.93896484375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(9.44960764135563), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(3.369222776351368)}}"
block,block3,dbscan,determined,2,5.524171734496221,1.9333509283204917,38.87697400000002,"{np.int64(0): {'pixel_count': 8156, 'percentage': np.float64(49.7802734375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(8.476877871905055), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.3321799722028054)}, np.int64(1): {'pixel_count': 8185, 'percentage': np.float64(49.957275390625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.5714655970873865), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.534521884438178)}}"
block,block3,kmeans,predefined,2,1.648926953333236,1.8771999161486226,0.007859199999984412,"{np.int32(0): {'pixel_count': 8205, 'percentage': np.float64(50.079345703125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(0.7747229867436297), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.4868328005570182)}, np.int32(1): {'pixel_count': 8179, 'percentage': np.float64(49.920654296875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(2.5231309199228424), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.267567031740227)}}"
block,block3,som,predefined,2,6.463220168337471,2.4439975454471,0.3708517000000029,"{np.int64(0): {'pixel_count': 8202, 'percentage': np.float64(50.06103515625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.476832695319311), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.518772314542832)}, np.int64(1): {'pixel_count': 8182, 'percentage': np.float64(49.93896484375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(9.44960764135563), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(3.369222776351368)}}"
block,block3,dbscan,predefined,1,26.108803779613577,20.078381526149727,1.7435212999999976,"{np.int64(0): {'pixel_count': 16384, 'percentage': np.float64(100.0), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(26.108803779613577), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(20.078381526149727)}}"
block,block4,kmeans,determined,2,2.362165297549475,2.0031514052933805,3.8481894999999895,"{np.int32(0): {'pixel_count': 7707, 'percentage': np.float64(47.039794921875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(3.8782365607993112), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.509663212123196)}, np.int32(1): {'pixel_count': 8677, 'percentage': np.float64(52.960205078125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(0.8460940342996389), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.496639598463565)}}"
block,block4,som,determined,2,10.760939257946472,2.4258206488651153,4.151877000000013,"{np.int64(0): {'pixel_count': 14193, 'percentage': np.float64(86.627197265625), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(11.04261252516952), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.757701778581824)}, np.int64(1): {'pixel_count': 2191, 'percentage': np.float64(13.372802734375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(10.479265990723421), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.0939395191484063)}}"
block,block4,dbscan,determined,3,12.5323025632937,9.98910808071281,36.71074110000001,"{np.int64(0): {'pixel_count': 7685, 'percentage': np.float64(46.905517578125), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(10.955095183127277), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.605253196070459)}, np.int64(1): {'pixel_count': 8682, 'percentage': np.float64(52.99072265625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.5314666249168405), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5237171238392078)}, np.int64(2): {'pixel_count': 17, 'percentage': np.float64(0.103759765625), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(24.110345881836984), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(25.838353922228766)}}"
block,block4,kmeans,predefined,2,2.362165297549475,2.0031514052933805,0.009938299999987521,"{np.int32(0): {'pixel_count': 8677, 'percentage': np.float64(52.960205078125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(0.8460940342996389), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.496639598463565)}, np.int32(1): {'pixel_count': 7707, 'percentage': np.float64(47.039794921875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(3.8782365607993112), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.509663212123196)}}"
block,block4,som,predefined,2,10.760939257946472,2.4258206488651153,0.3423616000000038,"{np.int64(0): {'pixel_count': 14193, 'percentage': np.float64(86.627197265625), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(11.04261252516952), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.757701778581824)}, np.int64(1): {'pixel_count': 2191, 'percentage': np.float64(13.372802734375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(10.479265990723421), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.0939395191484063)}}"
block,block4,dbscan,predefined,1,23.961726769880542,18.147534453713526,2.009272399999986,"{np.int64(0): {'pixel_count': 16384, 'percentage': np.float64(100.0), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(23.961726769880542), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(18.147534453713526)}}"
block,block5,kmeans,determined,2,4.696484089019934,2.6643481610104933,3.98561090000004,"{np.int32(0): {'pixel_count': 6762, 'percentage': np.float64(41.27197265625), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(5.776086982788471), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(3.6529496291079697)}, np.int32(1): {'pixel_count': 9622, 'percentage': np.float64(58.72802734375), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.616881195251397), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.6757466929130174)}}"
block,block5,som,determined,2,3.178992212874001,1.723259394643352,4.234246100000007,"{np.int64(0): {'pixel_count': 5250, 'percentage': np.float64(32.04345703125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.9448093984375223), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.8913937057631922)}, np.int64(1): {'pixel_count': 11134, 'percentage': np.float64(67.95654296875), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.4131750273104804), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.555125083523512)}}"
block,block5,dbscan,determined,3,10.851349867576367,6.3265881685738785,36.54768200000001,"{np.int64(0): {'pixel_count': 9580, 'percentage': np.float64(58.4716796875), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.956625701461506), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.6323137362037456)}, np.int64(1): {'pixel_count': 6711, 'percentage': np.float64(40.960693359375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(10.082849949822549), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(3.6744587803154634)}, np.int64(2): {'pixel_count': 26, 'percentage': np.float64(0.15869140625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(19.514573951445044), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(13.672991989202426)}}"
block,block5,kmeans,predefined,2,4.696484089019934,2.6643481610104933,0.011050500000010288,"{np.int32(0): {'pixel_count': 6762, 'percentage': np.float64(41.27197265625), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(5.776086982788471), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(3.6529496291079697)}, np.int32(1): {'pixel_count': 9622, 'percentage': np.float64(58.72802734375), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.616881195251397), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.6757466929130174)}}"
block,block5,som,predefined,2,3.178992212874001,1.723259394643352,0.34139189999996233,"{np.int64(0): {'pixel_count': 5250, 'percentage': np.float64(32.04345703125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.9448093984375223), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.8913937057631922)}, np.int64(1): {'pixel_count': 11134, 'percentage': np.float64(67.95654296875), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.4131750273104804), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.555125083523512)}}"
block,block5,dbscan,predefined,1,18.080458425081,13.107901126080717,1.9927605000000312,"{np.int64(0): {'pixel_count': 16384, 'percentage': np.float64(100.0), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(18.080458425081), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(13.107901126080717)}}"
