L,a,b
112.78868926092284,90.46896692527562,95.42935892200899
166.47800632911392,160.71708860759495,179.59462025316455
203.87891019172554,203.88657097551433,211.9199118597994
213.23129015454072,211.8756728598715,214.1172078485848
