L,a,b
495.8861,-68.84234,-32.717785
521.1885,-71.93437,-33.266293
508.63617,-71.037,-33.593117
502.16623,-69.901115,-33.132664
476.21384,-65.60215,-31.444942
297.7336,-34.256695,-13.752408
