L,a,b
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
15.810594681964268,0.9407735205778645,-1.1515939316333546
