L,a,b
94.64685414692997,1.017766008788168,-0.7234963623076851
72.82235386683266,4.061359133858799,-9.499271710261127
88.5485060561183,2.2479987439987803,-1.958173994332979
35.37047806994339,2.4721986420088715,-1.7507058539091402
82.99917597970793,1.4433529063721529,-2.844411458699292
50.09658983900114,2.320437280703691,-1.6465371446998667
78.57089242700211,2.902819439073223,-4.630176667106456
63.73590509905959,1.6819825712548475,5.908261431246786
18.413133284047603,2.0498801595293656,-1.4489732642106845
70.43661370746452,2.149324307128664,-0.38888911136139015
